('HH485718', '170312514003012')
('HH485926', '170318351003018')
('HH485934', '170313018021015')
('HH486986', '170318430002027')
('HH487167', '170318422001052')
('HH487829', '170318387001034')
('HH490118', '170318346003036')
('HH490208', '170312808001019')
('HH490220', '170312511003013')
('HH492600', '170318351003006')
('HH494289', '170314212001002')
('HH494479', '170318424003021')
('HH494479', '170318424003021')
('HH497225', '170318370001016')
('HH497737', '170317207002002')
('HH499180', '170314304004006')
('HH499272', '170310101002013')
('HH500112', '170318412001001')
('HH500798', '170318432002071')
('HH500856', '170318415002024')
('HH501711', '170318438002018')
('HH503657', '170316605002013')
('HH503688', '170311612002000')
('HH505592', '170318428004021')
('HH505945', '170318346004021')
('HH506246', '170312211003020')
('HH506533', '170318366001019')
('HH507903', '170310102022002')
('HH508211', '170318407002009')
('HH508501', '170316607001023')
('HH508711', '170316810004011')
('HH509766', '170317506003006')
('HH510318', '170314910004005')
('HH510619', '170314309001006')
('HH510630', '170311913013009')
('HH513164', '170315304001003')
('HH517125', '170312518003003')
('HH521762', '170312604001036')
('HH522403', '170316120001009')
('HH524632', '170318339001018')
('HH524632', '170318339001018')
('HH524796', '170316813003007')
('HH525230', '170316606001006')
('HH527219', '170314302003007')
('HH528690', '170318371001009')
('HH529070', '170316720003018')
('HH529226', '170318365002004')
('HH533977', '170310514002007')
('HH535540', '170312922001005')
('HH536070', '170310101002012')
('HH536360', '170311408005002')
('HH538222', '170312105011009')
('HH538545', '170316708002022')
('HH539590', '170315305014016')
('HH539837', '170312307003019')
('HH540148', '170312606001009')
('HH541332', '170312411002004')
('HH541423', '170314313021004')
('HH546846', '170318364001008')
('HH546846', '170318364001008')
('HH546996', '170312827001001')
('HH548761', '170318342002007')
('HH549795', '170316806001007')
('HH549811', '170315501001024')
('HH549854', '170317301001011')
('HH551686', '170316805002014')
('HH551970', '170314212001008')
('HH551995', '170314905001011')
('HH552989', '170316707001009')
('HH553164', '170310601003000')
('HH553599', '170312827002012')
('HH554235', '170310505001014')
('HH555020', '170315103004002')
('HH556297', '170312229001009')
('HH556368', '170318431001017')
